Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,023603.83+065300.1,02361+0653,"PLQ  32Aa,P",,16160,12114,5.83,11.66,61,y,.,0.171,a,.,49,.,13,.,1940,y,.,0.67,.,249,.,2000,,9,n,Hei1994b,wds02361+0653q.png
,023637.75+122652.2,02366+1227,MCA   7,,16234,12153,5.68,5.78,1.924,y,0.013,0.119,a,0.005,101,3.6,171.3,2.4,1986.83,y,0.02,0.884,0.022,256.9,2.4,2000,1996,2,n,Msn1997a,wds02366+1227a.png
,023708.60-111151.4,02371-1112,HU 1216,1990,16355,12204,8.53,9.18,159,y,.,0.66,a,.,59.5,.,85.8,.,1893,y,.,0.55,.,83,.,,,5,n,Hei1998,wds02371-1112a.png
,023724.26-523235.1,02374-5233,eta Hor,,16555,12225,5.3,.,1148,d,242,24,m,2,115,4,62,90,49288,d,311,0.26,0.21,88,46,,1993,9,,Gln2006,wds02374-5233u.png
,023724.26-523235.1,02374-5233,eta Hor,,16555,12225,5.3,.,1247,d,662,25,m,4,121,4,53,91,49325,d,564,0.31,0.26,71,67,,1993,9,,Gln2006,wds02374-5233v.png
,023755.14+200309.7,02379+2003,A  2219,1993,16352,12266,9.48,9.34,160,y,.,0.252,a,.,127,.,172.6,.,1950,y,.,0.84,.,230,.,2000,,5,n,Hei1997,wds02379+2003a.png
,023755.14+200309.7,02379+2003,A  2219,1993,16352,12266,9.48,9.34,270,y,.,0.507,a,.,99,.,141.7,.,2034,y,.,0.4,.,62,.,2000,,5,n,Hei1997,wds02379+2003b.png
,023813.90+460403.0,02382+4604,A  1278,1992,16283,,8.9,9,105.89,y,.,0.527,a,.,96.7,.,121.9,.,1998.63,y,.,0.95,.,83.8,.,2000,1996,3,n,Hrt2001b,wds02382+4604a.png
,023825.25-012431.0,02384-0125,A   450,2005,16453,12301,8.49,10.19,915,y,.,0.6,a,.,116.7,.,1.4,.,2060,y,.,0.639,.,252.2,.,2000,1997,5,,Sey2002,wds02384-0125a.png
,023933.73-115217.7,02396-1152,FIN 312,,16620,12390,5.22,6.5,2.654,y,.,0.107,a,.,24,.,86,.,1991.12,y,.,0.23,.,46,.,2000,,1,n,Sod1999,wds02396-1152d.png
,023937.94-542500.7,02396-5425,HU 1350,,16795,12397,9.52,9.94,250,y,.,0.79,a,.,124.7,.,7.6,.,1903,y,.,0.434,.,135.9,.,2000,1991,5,,Sey2002,wds02396-5425a.png
,023951.75+000848.1,02399+0009,A  1928,2028,16619,12421,8.6,8.6,17.92,y,.,0.138,a,.,45.1,.,58.9,.,2009.17,y,.,0.463,.,354.1,.,,1999,2,n,Doc2001f,wds02399+0009b.png
,024031.49-240807.5,02405-2408,SEE  19,2044,16753,12466,8.15,8.68,212.56,y,.,0.523,a,.,112.3,.,177.1,.,2027.22,y,.,0.899,.,63.5,.,2000,1996,4,,Lin2003b,wds02405-2408a.png
,024042.23+263720.3,02407+2637,STT  43,2034,16638,12491,7.9,9.04,289.2,y,.,0.886,a,.,124.2,.,39,.,1804.422,y,.,0.324,.,203.8,.,2000,1999,4,n,Sca2001d,wds02407+2637a.png
,024128.89+405250.8,02415+4053,COU1511,,16656,12552,8.7,8.7,22.18,y,.,0.124,a,.,147,.,217.2,.,1988.64,y,.,0.474,.,287,.,2000,1996,3,n,Hrt2001b,wds02415+4053b.png
,024214.93+401139.8,02422+4012,MCA   8,,16739,12623,4.91,.,330.98209,d,.,53.18,m,0.15,128.17,0.14,49.29,.,1993.33956,y,.,0.6574,.,269.29,.,,2004,8,n,Bgn2006,wds02422+4012d.png
,024219.72+492458.5,02423+4925,HU  539,2051,16692,12632,9.22,9.52,175,y,.,0.222,a,.,144.1,.,19.4,.,2007.1,y,.,0.684,.,124.7,.,2000,1995,4,,Sey2002,wds02423+4925a.png
,024221.92+200041.7,02424+2001,BLA   1Aa,2062,16811,12640,5.69,6.2,8.845,y,0.046,0.0563,a,0.0008,71.2,1.1,101,1,1981.099,y,0.063,0.337,0.023,92.3,1.7,2000,1996,2,n,Msn1997a,wds02424+2001c.png
,024320.65+192545.4,02433+1926,BAG  20,,16909,12709,8.3,.,1214,d,.,31.24,m,6.15,76.48,6.25,27.39,11.56,44185.5,d,.,0.521,.,117,.,,1991,9,n,HIP1997d,wds02433+1926p.png
,024326.47-664250.6,02434-6643,FIN 333,,17326,12717,6.51,8.19,36,y,.,0.29,a,.,94,.,36,.,1999,y,.,0.85,.,15,.,2000,,4,n,Sod1999,wds02434-6643a.png
,024327.11+274225.8,02435+2742,35 Ari,,16908,12719,4.64,.,490,d,.,6.52,m,1.52,154.96,21.77,66.46,35.99,48581.4141,d,60.6149,0.14,.,320,.,,1991,9,n,HIP1997d,wds02435+2742p.png
,024411.69+491343.2,02442+4914,STF 296AB,2081,16895,12777,4.12,10,2720,y,.,22.289,a,.,75.44,.,128,.,1613,y,.,0.13,.,100.64,.,1900,1956,5,n,Hop1958,wds02442+4914a.png
,024414.51-252943.9,02442-2530,FIN 379Aa,,17134,12780,7,.,27.02,y,0.27,0.267,a,0.021,67.21,1.08,168.83,10.63,1990.01,y,0.54,0.559,0.114,315.71,13.62,,1991,4,n,Hng2005,wds02442-2530a.png
,024544.77-394301.8,02457-3943,B  2077A,,17354,12894,7.79,.,861,d,26,11,m,2,123,9,284,94,48896,d,123,0.46,0.23,106,99,,1993,9,,Gln2006,wds02457-3943u.png
,024544.77-394301.8,02457-3943,B  2077A,,17354,12894,7.79,.,862,d,32,10,m,2,119,8,281,94,48862,d,186,0.35,0.28,85,98,,1993,9,,Gln2006,wds02457-3943v.png
,024559.59-045723.3,02460-0457,BU   83,2111,17251,12912,7.73,9.64,634.52,y,.,1.342,a,.,120,.,136.2,.,2447.62,y,.,0.173,.,339.5,.,2000,1993,5,n,Ole2002d,wds02460-0457b.png
,024559.59-045723.3,02460-0457,BU   83p,2111,17251,12912,7.53,9.39,36,y,.,0.08,a,.,50,.,110,.,1900.5,y,.,0.15,.,280,.,1900,1968,9,n,Dom1972a,wds02460-0457p.png
,024727.35+192220.0,02475+1922,STF 305AB,2122,17332,13027,7.52,8.25,720,y,.,2.913,a,.,114.33,.,145.6,.,1790,y,.,0.77,.,55.67,.,1900,1940,4,n,Rab1961a,wds02475+1922a.png
,024747.63+812655.2,02478+8127,HR  774,.,16458,13055,5.79,.,2018,d,.,8.12,m,0.77,85,13.7,279,16,46344,d,.,0.09,.,120,.,,1992,9,,Jnc2005,wds02478+8127u.png
,024808.97+270408.2,02481+2704,GC 3359,,17382,13081,7.6,.,15.5,y,.,0.039,a,.,84,.,54,.,1986.5,y,.,0,.,0,.,2000,1989,9,,Hei1990d,wds02481+2704p.png
,025111.57+014049.5,02512+0141,A  2338,2177,,,9.9,10.6,162.1,y,.,0.471,a,.,73,.,127,.,1975.49,y,.,0.61,.,114,.,,1996,5,,Ole2002c,wds02512+0141a.png
,025139.15+455848.2,02517+4559,A  1281,2173,17647,13336,8.97,10.72,171.5,y,.,0.55,a,.,45.7,.,159.3,.,1935.5,y,.,0.41,.,148.5,.,,1982,4,n,Hei1984b,wds02517+4559b.png
,025142.73-523333.2,02517-5234,HU 1562,,18025,13341,8.79,9.71,65,y,.,0.28,a,.,103,.,52.1,.,1952,y,.,0.9,.,169,.,2000,1978,4,n,Hei1979b,wds02517-5234a.png
,025342.58+382015.6,02537+3820,BU  524AB,2200,17904,13490,5.79,6.8,31.528,y,0.072,0.221,a,0.003,121,0.6,25.4,0.6,1996.526,y,0.014,0.753,0.005,265,0.6,,1999,2,n,Doc2001c,wds02537+3820c.png
,025415.46+524545.0,02543+5246,LAB   1Aa,2202,17879,13531,3.95,7.5,4.15,y,.,0.05,a,.,95,.,101,.,1976.535,y,.,0.73,.,54.6,.,,,5,n,McA1981c,wds02543+5246a.png
,025538.89+265225.3,02556+2652,STF 326AB,2218,18143,13642,7.68,10.02,.,,.,.,,.,81.5,.,34.55,.,2248,y,.,1,.,308.2,.,1900,1955,5,n,Hop1967,
,025611.32+725310.4,02563+7253,STF 312AB,2204,17785,13677,8.16,8.92,2037.66,y,58.53,3.88,a,0.042,59.8,0.2,14.5,0.2,2137.36,y,52.99,0.506,0.006,115.6,0.6,2000,2003,5,,Cve2006e,wds02563+7253k.png
,025714.69-245809.9,02572-2458,BU  741AB,2242,18455,13772,8.06,8.2,164.4,y,.,1.274,a,.,81,.,164.8,.,1868.23,y,.,0.442,.,262.8,.,2000,1999,3,n,Sca2002c,wds02572-2458a.png
,025714.90+015315.3,02572+0153,A  2413,2236,18368,13773,8.28,8.62,115.8,y,4.5,0.615,a,0.036,69.7,1.1,4.6,0.7,1929.241,y,0.44,0.4593,0.014,274.5,3.4,2000,1998,3,n,Sca2001d,wds02572+0153b.png
,025835.99+240801.7,02586+2408,BU 1173AB,2246,18442,13867,8.3,8.35,440,y,.,0.343,a,.,61,.,143,.,1880,y,.,0.48,.,153,.,2000,,4,n,Hei1996c,wds02586+2408c.png
,025853.05+213704.0,02589+2137,BU  525,2253,18484,13892,7.47,7.45,241.903,y,.,0.442,a,.,60.06,.,92.5,.,1846.948,y,.,0.217,.,317.36,.,,1974,4,n,Csa1978,wds02589+2137a.png
,030020.37-111739.3,03003-1118,A  2611,2283,18740,,9.7,9.7,68,y,.,0.22,a,.,63.5,.,16.2,.,1947,y,.,0.25,.,138.8,.,,1975,4,n,Baz1988d,wds03003-1118b.png
,030037.99+475306.4,03006+4753,A  1529,2271,18549,14029,8.1,9.68,105.48,y,2,0.159,a,0.005,98,0.5,165.4,3,1966,y,5,0.731,0.1,208.1,1.5,2000,2004,4,n,Tam2006,wds03006+4753b.png
,030122.67+061457.6,03014+0615,HDS 385,,18774,14075,9.52,9.97,13.89,y,0.11,0.111,a,0.001,50.6,1.9,165.8,1.8,1998.32,y,0.06,0.474,0.017,184.9,2.8,2000,2003,3,,Bag2005,wds03014+0615a.png
,030215.51+181945.6,03023+1820,A  2414,2301,,14132,10.54,10.41,256,y,.,0.432,a,.,53,.,22.7,.,1906,y,.,0.3,.,269,.,2000,,5,n,Hei1997,wds03023+1820b.png
,030328.58+230341.3,03035+2304,HDS 389,,18940,14230,7.38,9.1,5.91,y,0.07,0.11,a,0.005,68.5,2.1,21.4,0.9,1999.31,y,0.04,0.876,0.009,144.1,1.9,2000,2003,3,,Bag2005,wds03035+2304a.png
,030447.79+533023.2,03048+5330,WRH  29Aa,2324,18925,14328,2.93,4.4,14.593,y,0.0046,0.1439,a,0.73,90.6,0.71,244.2,0.28,1947.279,y,0.0083,0.786,0.0038,169.6,0.71,,,2,n,Pbx2000b,wds03048+5330a.png
,030526.69+251518.7,03054+2515,STF 346AB,2336,19134,14376,6.21,6.19,227,y,.,0.47,a,.,77.5,.,92.8,.,1938.5,y,.,0.73,.,323,.,2000,1980,3,n,Hei1981a,wds03054+2515a.png
,030810.13+405720.3,03082+4057,LAB   2Aa,2362,19356,14576,2.12v,4.6 v,680.05,d,0.06,94.61,m,0.22,83.98,0.09,312.26,0.13,46931.4,d,1.5,0.225,0.005,310.29,0.08,,1992,1,n,MkT1993a,wds03082+4057a.png
,030931.15+454401.2,03095+4544,HDS 404,,,14669,10.32,12.5,28.31,y,0.07,0.569,a,0.007,96.8,0.3,13.2,0.2,2009.16,y,0.07,0.138,0.004,165.6,1,2000,2003,4,,Bag2005,wds03095+4544a.png
,030936.30+051210.6,03096+0512,A  2030,2373,19620,14676,8.58,9.2,54.455,y,.,0.261,a,.,148.7,.,53.7,.,1943.408,y,.,0.48,.,277,.,1900,1974,3,n,Sta1978b,wds03096+0512a.png
,031204.28-285920.8,03121-2859,HJ 3555,2402,20010,14879,3.98,7.19,269,y,.,4,a,.,81,.,117,.,1947,y,.,0.73,.,43,.,2000,,4,n,Sod1999,wds03121-2859a.png
,031209.54+371304.2,03122+3713,STF 360,2390,19771,14886,8.02,8.29,871,y,.,3.66,a,.,98,.,111,.,1454,y,.,0.71,.,105,.,2000,2002,5,n,WSI2004a,wds03122+3713a.png
,031225.68-442510.8,03124-4425,JC    8AB,,20121,14913,6.42,7.36,45.2,y,.,0.41,a,.,165,.,110,.,1977.5,y,.,0.9,.,118,.,2000,,3,n,Sod1999,wds03124-4425a.png
,031239.10+713320.7,03127+7133,STT  50AB,2377,19475,14944,8.43,8.46,310.06,y,.,1.01,a,.,134.9,.,14.9,.,2085.83,y,.,0.394,.,5.6,.,,1998,4,n,Sca2001g,wds03127+7133a.png
,031246.32-011145.4,03128-0112,HJ  663,2406,19994,14954,5.06,11,1420,y,.,6.77,a,.,114.1,.,84.13,.,1982,y,.,0.26,.,247.74,.,2000,1990,5,n,Hle1994,wds03128-0112a.png
,031402.84+004421.8,03140+0044,STF 367,2416,20115,15058,8.14,8.17,790,y,.,1.308,a,.,136.1,.,129.2,.,1902,y,.,0.32,.,275,.,2000,1962,5,n,Hei1963a,wds03140+0044a.png
,031507.58+161812.9,03151+1618,HU 1055AB,2429,,15134,9.4,9.9,100.5,y,4.6,0.442,a,0.045,126,7,227,16,1991.3,y,0.69,0.975,0.006,286,10,2000,1996,4,,Hrt2000a,wds03151+1618a.png
,031731.54+653930.1,03175+6540,STT  52AB,2436,20104,15309,7.06,7.4,350,y,.,0.458,a,.,135,.,58,.,2055,y,.,0.4,.,100,.,,,4,n,Hei1998,wds03175+6540a.png
,031743.94+383821.5,03177+3838,STT  53,2446,20347,15329,7.73,8.5,113.5,y,.,0.53,a,.,137.2,.,118.4,.,1928.31,y,.,0.76,.,46.4,.,2000,,3,n,Alz1998a,wds03177+3838c.png
,031822.10-223040.1,03184-2231,SEE  23,2463,20610,15382,6.57,5.32,112.4,y,.,0.327,a,.,65.6,.,89.2,.,1914.7,y,.,0.043,.,91.8,.,2000,1999,3,n,Sey2002,wds03184-2231a.png
,031822.28-005548.5,03184-0056,AC    2AB,2459,20559,15383,5.6,7.97,282.42,y,.,0.978,a,.,64.82,.,72.76,.,2138.23,y,.,0.27,.,0,.,2000,1992,4,n,Pop1997f,wds03184-0056a.png
,031827.14+151041.1,03185+1511,LDS6150A,.,20512,15394,7.41,.,3089.4,d,.,21.9,m,3,137.2,5.9,81,10,51190.3,d,.,0.86,.,71.7,.,,1992,9,n,Jnc2005,wds03185+1511u.png
,031852.80-010109.7,03189-0101,BU 1177,2464,20601,15430,10.28,10.38,220.58,y,.,0.45,a,.,121.8,.,25,.,1903.42,y,.,0.16,.,26.9,.,,1983,5,n,Baz1989a,wds03189-0101b.png
,032143.84+084523.5,03217+0845,STF 380,2491,20837,,9.02,9.81,520.754,y,.,0.9424,a,.,164.14,.,67.75,.,2114.34,y,.,0.2705,.,164.38,.,2000,1988,5,n,Pop1996b,wds03217+0845a.png
,032335.23-400435.4,03236-4005,I   468,,21175,15799,6.8,11,111,y,.,1.8,a,.,32,.,49,.,1982,y,.,0.2,.,348,.,2000,,5,n,Sod1999,wds03236-4005a.png
,032424.73-153913.8,03244-1539,A  2909AB,2524,21161,15868,8.4,8.4,25,y,.,0.148,a,.,53.5,.,2.2,.,1949,y,.,0.18,.,254.7,.,,1953,4,n,Mlr1955a,wds03244-1539a.png
,032608.81+122854.7,03261+1229,A   829,2531,21261,16008,8.82,10.38,111.38,y,3.93,0.417,a,0.012,120.6,2,260.1,2.4,1985.1,y,0.79,0.743,0.018,77.2,1.9,2000,2003,4,n,Hrt2008,wds03261+1229k.png
,032703.20+184523.6,03271+1845,CHR  10,,21335,16077,6.57,.,19.757,y,.,0.0886,a,.,40.6,.,119,.,1987.24,y,.,0.145,.,21.1,.,,1991,4,n,Ole1999,wds03271+1845a.png
,032710.12+094358.0,03272+0944,HDS 433,,21364,16083,3.75,7.55,212,y,.,1.21,a,.,57,.,332.3,.,2003.2,y,.,0.66,.,60.7,.,2000,2000,5,n,FMR2007a,wds03272+0944k.png
,032752.07-194818.8,03279-1948,GC 4128,,21531,16134,8.39,.,503.3852,d,12.6924,19.37,m,1.98,35.04,8.98,115.13,22.29,48343.4375,d,28.7336,0.3235,0.1095,235.07,24.07,,1991,9,n,HIP1997d,wds03279-1948p.png
,032823.56+601520.6,03284+6015,A   980AB,2538,21203,16177,6.73,8.29,231,y,.,0.38,a,.,133.4,.,147.7,.,1961,y,.,0.18,.,68,.,1950,1988,4,n,Baz1994,wds03284+6015d.png
,033052.37+125612.1,03309+1256,5 Tau,,21754,16369,4.14,.,960,d,.,4.25,m,1.51,36.95,29.53,207.61,37.37,47546.5703,d,79.6215,0.397,.,326.32,.,,1991,9,n,HIP1997d,wds03309+1256p.png
,033059.31+293649.3,03310+2937,A   983,2578,21674,16376,9.64,10.24,291.7,y,.,0.45,a,.,56.4,.,143.4,.,1976.3,y,.,0.39,.,283.3,.,2000,1993,5,n,Doc1993e,wds03310+2937c.png
,033204.86+434012.6,03321+4340,COU1688AB,,21727,16467,8.7,8.9,9.15,y,.,0.144,a,.,43.7,.,26.5,.,1987.02,y,.,0.08,.,303.9,.,2000,1986,4,n,Baz1993d,wds03321+4340a.png
,033341.23+575207.1,03337+5752,CHR 117,,21794,16602,6.36,6.6,14.47,y,0.07,0.12,a,0.001,46,1,235,1,1990.15,y,0.03,0.35,0.01,236,1,,1998,2,n,Bag2002,wds03337+5752b.png
,033356.81-310449.1,03339-3105,B    52,,22262,16628,6.69,7.63,19.13,y,.,0.236,a,.,84.5,.,141,.,1996.72,y,.,0.33,.,10,.,,,3,n,Hei1996c,wds03339-3105a.png
,033412.95+483703.1,03342+4837,BU  787AB,2609,21931,16649,7.4,11.9,400.22,y,.,2.861,a,.,31.4,.,147.3,.,1831.93,y,.,0.54,.,331.9,.,,1958,5,n,Erc1984b,wds03342+4837b.png
,033426.62+242752.1,03344+2428,STF 412AB,2616,22091,16664,6.6,6.86,522.16,y,.,0.625,a,.,157.2,.,13,.,1911.62,y,.,0.679,.,238.1,.,2000,2000,3,n,Sca2002a,wds03344+2428c.png
,033501.04+600229.0,03350+6002,STF 400AB,2612,21903,16712,6.79,7.97,244.52,y,.,1.052,a,.,67.1,.,82.6,.,1939.07,y,.,0.669,.,35.1,.,,1996,3,n,Sey2000a,wds03350+6002a.png
,033609.36+422023.2,03362+4220,A  1535,2630,22193,16793,8.84,9.54,145.05,y,8.72,0.531,a,0.01,48.1,4,156.8,3.6,1940.32,y,2.85,0.372,0.034,8.5,11.7,2000,2003,3,n,Hrt2008,wds03362+4220k.png
,033647.31+003517.4,03368+0035,STF 422,2644,22468,16846,6,8.9,2101,y,.,8.023,a,.,32.07,.,92.35,.,1900,y,.,0.18,.,151.97,.,1900,1954,5,n,Hop1964b,wds03368+0035a.png
,033728.02+310712.6,03375+3107,GC 4314,,22418,16900,7.01,.,717.1133,d,43.0233,8.79,m,0.97,135.11,15.65,14.25,26.19,48169.875,d,52.0617,0,.,0,.,,1991,9,n,HIP1997d,wds03375+3107p.png
,033857.34+423219.0,03390+4232,BD+42  803,,22521,17022,6.95,.,1091,d,94,14,m,18,69,10,112,102,48685,d,226,0.68,0.28,121,118,,1993,9,,Gln2006,wds03390+4232u.png
,033857.34+423219.0,03390+4232,BD+42  803,,22521,17022,6.95,.,1119,d,80,15,m,5,65,6,83,98,48772,d,202,0.63,0.22,96,82,,1993,9,,Gln2006,wds03390+4232v.png
,034012.48-193534.3,03402-1936,GC 4392,,22921,17138,6.93,.,706.5027,d,100.5719,3.51,m,0.8,137.99,20.32,115.86,22.84,48563.875,d,52.3959,0,.,0,.,,1991,9,n,HIP1997d,wds03402-1936p.png
,034209.35+631300.3,03422+6313,BD Cam,,22649,17296,5.12,.,596.2,d,.,2.3,m,0.6,105.6,18.7,162.1,20.1,42794.5,d,.,0.088,.,334.3,19,,1993,9,n,Pbx2000a,wds03422+6313p.png
,034215.90+314049.5,03423+3141,COU 691,,,,9,9,36.52,y,2,0.167,a,0.01,73.9,1.5,52.7,1,2003.74,y,1,0.6,0.07,252,2,2000,1996,4,n,Doc2003e,wds03423+3141c.png
,034236.96+171736.3,03426+1718,GC 4435,,23052,17336,7.09,.,1000.6828,d,29.5905,32.12,m,1.49,78.27,1.55,79.5,1.86,48024.4023,d,10.0292,0,.,0,.,,1991,9,n,HIP1997d,wds03426+1718p.png
,034400.54+522807.8,03440+5228,A  1289,2710,23006,17427,10.07,10.38,265,y,.,0.32,a,.,51.5,.,147.4,.,2080,y,.,0.633,.,75.7,.,2000,1995,5,,Sey2002,wds03440+5228a.png
,034411.55-644825.5,03442-6448,bet Ret,,23817,17440,3.85,.,1911.5,d,.,27.1,m,2.5,82.85,3.36,22.39,6.82,48872.4805,d,18.5393,0.21,.,13.8,.,,1991,9,n,HIP1997d,wds03442-6448p.png
,034448.83+460209.0,03448+4602,BAG   8,,23140,17491,7.8,10.5,13.877,y,0.016,0.2574,a,0.0046,101.37,0.12,281.1,1,1992.092,y,0.016,0.2764,0.003,74.85,0.25,,2001,3,n,Bag2002b,wds03448+4602a.png
,034512.49+242802.1,03453+2428,Pleiades H 156,,23338,17531,4.6,6.1,2.02,y,.,0.055,a,.,83.6,.,84.6,.,1989.92,y,.,0.456,.,225.5,.,2000,1994,9,,Ole2003b,wds03453+2428p.png
,034523.92-275146.2,03454-2752,BU 1003,2756,23588,17544,8.39,11.12,286.34,y,4.83,2.145,a,0.092,34.7,4,81.7,3.6,1997.42,y,3.95,0.479,0.107,101.7,9.8,2000,2001,5,n,Cve2008a,wds03454-2752k.png
,034616.00+241123.5,03463+2411,BU  536AB,2755,23479,,8.13,9.39,1421.57,y,.,1.93,a,.,100,.,2.1,.,1980.2,y,.,0.66,.,175.2,.,2000,1985,5,n,Pop1995a,wds03463+2411a.png
,034722.88+225520.0,03474+2255,SAO 76196,,23610,17694,8.2,.,980.5113,d,83.2956,5.88,m,2.01,54.82,12.44,137.64,12.91,48534.5234,d,29.7977,0,.,0,.,,1991,9,n,HIP1997d,wds03474+2255p.png
,034801.34+684036.8,03480+6840,KUI  13BC,,23189,17750,11.58,12.08,44.21,y,.,0.44,a,.,152.8,.,46.2,.,1982.06,y,.,0.55,.,17,.,1950,1982,4,n,Baz1986a,wds03480+6840a.png
,034822.94+520216.9,03484+5202,HU  546,2768,23524,17782,9.54,9.53,68.7,y,.,0.325,a,.,146,.,92,.,1974.4,y,.,0.164,.,242.5,.,2000,1990,3,n,Hei1991,wds03484+5202a.png
,034851.57+114231.7,03489+1143,A   831,2785,23874,17826,8.54,10,192,y,.,0.434,a,.,64.5,.,165.2,.,2051,y,.,0.452,.,30.5,.,2000,1995,4,,Sey2002,wds03489+1143a.png
,034856.52+644454.5,03489+6445,STT  62,2765,23406,17831,8.06,9.05,178.15,y,12.22,0.382,a,0.008,52.3,3.6,158.6,3.2,1944.47,y,8.14,0.124,0.058,47.1,19.6,2000,2003,2,n,Hrt2008,wds03489+6445k.png
,034908.12+435746.9,03491+4358,V376 Per,,23728,17846,5.96v,.,1318.1971,d,170.4159,9.55,m,1.21,81.95,14.56,161.79,9.07,48363.1641,d,38.5925,0,.,0,.,,1991,9,n,HIP1997d,wds03491+4358p.png
,034909.73+240312.7,03492+2403,"MKT  12Aa1,2",2786,23850,17847,3.84,5.46,290.984,d,0.079,13.08,m,0.12,107.87,0.49,154,0.7,50583,d,1.9,0.2385,0.0063,151.9,2.2,,2000,1,n,Zwa2004,wds03492+2403b.png
,034924.67-195608.1,03494-1956,RST2324,,,,10,10,105.42,y,2.04,0.2,a,0.012,144.3,5.1,155.8,10.3,1995.39,y,1.87,0.349,0.042,131,12.7,2000,2001,4,,Ole2005d,wds03494-1956a.png
,034936.62+631749.6,03496+6318,CAR   1,,23523,17891,6.31,7.11,10.18,y,.,0.102,a,.,37.9,.,10.4,.,1998.1,y,.,0.441,.,281.7,.,,2000,3,n,Zir2002b,wds03496+6318a.png
,035004.45+445804.5,03501+4458,CHR 126,,23838,17932,6.2,7.5,962.8,d,.,7.43,m,1.4,93.35,4.92,238.83,7.11,42288.1016,d,.,0.724,.,108.8,.,,1991,9,n,HIP1997d,wds03501+4458k.png
,035018.91+253446.7,03503+2535,STT  65,2799,23985,17954,5.73,6.52,61,y,0.5,0.411,a,0.005,84.3,1,27.3,1,1998.39,y,0.8,0.635,0.006,340.5,4.5,2000,2004,2,n,Doc2007d,wds03503+2535b.png
,035120.24+262113.6,03513+2621,A  1830AB,2811,24104,,9.4,9.4,291.6,y,27.19,0.284,a,0.062,103.6,6,15.3,4.8,1976.77,y,27.9,0.45,0.223,143.1,14.2,2000,1995,5,n,Ole2005d,wds03513+2621b.png
,035343.68+531623.5,03537+5316,A  1293,2828,24203,18218,8.62,9.46,56.39,y,.,0.282,a,.,47.25,.,36.83,.,1955.5,y,.,0.67,.,50.07,.,,1986,3,n,Lin1992b,wds03537+5316b.png
,035427.09+051128.2,03545+0510,A  1831BC,2849,24550,18264,9.38,10.35,234.7,y,.,0.208,a,.,39.6,.,84,.,1978.57,y,.,0.258,.,76.4,.,2000,1991,5,n,Ole1998a,wds03545+0510a.png
,035728.81-010932.8,03575-0110,BU  543,2894,24916,18512,8.21,11.45v,3200,y,.,11.1,a,.,180,.,27.6,.,1900,y,.,0,.,0,.,,1972,5,n,Dom1978,wds03575-0110a.png
,035900.26+094654.5,03590+0947,HU   27,2911,25034,18618,8.96,9.05,385.26,y,40.9,0.849,a,0.012,73.6,1.5,170.8,0.3,2038.01,y,1.9,0.692,0.039,236.1,6.2,2000,1997,4,n,Lin2004a,wds03590+0947b.png
,035936.87-101922.5,03596-1019,HU   29,2921,25164,18655,8.83,9.3,123.98,y,10.85,0.234,a,0.049,64.5,5.7,135.8,6,1939.63,y,13.9,0.879,0.321,349.3,6.6,2000,1997,4,n,Cve2008a,wds03596-1019k.png
,040009.39+081818.9,04002+0818,A  1936BC,2923,,,9.6,9.7,169,y,.,0.371,a,.,127,.,7.5,.,2000,y,.,0.47,.,69,.,,,5,,Hei1998,wds04002+0818a.png
,040047.29+050458.2,04008+0505,A  1937,2928,25248,18734,9.38,9.48,42.32,y,.,0.126,a,.,53.3,.,149.9,.,1972.75,y,.,0.859,.,75.4,.,2000,1995,3,n,Bdl2006a,wds04008+0505k.png
,040203.44-342855.7,04021-3429,BU 1004AB,,25535,18824,7.26,7.94,281.831,y,.,1.853,a,.,124.77,.,59.01,.,2018.824,y,.,0.692,.,85.35,.,2000,1986,5,,Jas1997,wds04021-3429a.png
,040221.85-283151.1,04024-2832,DAW  79,2952,25546,18839,8.28,8.71,160.57,y,.,0.5,a,.,126.6,.,99,.,2010.914,y,.,0.144,.,149.6,.,2000,1990,5,n,Sca1993,wds04024-2832a.png
,040406.99+393035.8,04041+3931,STF 483,2959,25444,18986,7.38,9.35,495.65,y,.,2.482,a,.,110.8,.,190.2,.,1909.98,y,.,0.706,.,321.1,.,2000,2003,4,n,Bdl2006b,wds04041+3931k.png
,040421.67+240621.7,04044+2406,MCA  13Aa,2965,25555,19009,5.47,5.5,7.9412,y,0.0093,0.0289,a,0.0024,149.4,6.9,260,15,1985.092,y,0.013,0.683,0.006,287.7,1.6,2000,1993,3,n,Msn1997b,wds04044+2406b.png
,040616.41+195228.5,04063+1952,BAG   4,,25811,,8.9,9.1,30.68,y,.,0.079,a,.,128,.,50,.,1990.96,y,.,0.045,.,32,.,,1997,3,n,Bag2001,wds04063+1952a.png
,040625.51+432507.1,04064+4325,A  1710,2980,25693,19159,8.16,8.27,109.5,y,.,0.396,a,.,123.3,.,121,.,1947.3,y,.,0.66,.,333,.,2000,1980,3,n,Hei1982c,wds04064+4325a.png
