Target?,"RA,Dec (J2000)....",WDS.......,DD............,ADS..,HD....,HIP...,*V1.11*,*V2.22*,PPPP.PPPPPP,*,eee.eeeeee,AAA.AAAAA,*,ee.eeeee,III.IIII,eee.eeee,NNN.NNNN*,eee.eee,e TTTTT.TTTTTT,*,eee.eeeeee,E.EEEEEE,e.eeeeee,OOO.OOOO,eee.eeee,EQNX,LAST,G,N,REF.....,PNGFILE...........
,001208.05+533726.1,00121+5337,BU 1026Aa-B,148,761,981,7.25,8.46,66.84,y,0.17,0.2514,a,0.0055,42.77,0.84,254.9,1.2,1986.542,y,0.029,0.8282,0.0058,255.2,1.1,2000,,2,n,Hrt1996a,wds00121+5337d.png
,001210.31+464629.7,00122+4647,A   802,149,764,984,9.7,10.35,269.52,y,.,0.26,a,.,108.8,.,125.6,.,1972.51,y,.,0.511,.,266.6,.,2000,1991,5,n,Msn2001c,wds00122+4647a.png
,001230.12+143349.3,00125+1434,LN Peg,,,999,8.59,.,1251.355,d,88.1887,18.39,m,1.24,81.27,5.77,118.04,4.23,48480.625,d,16.4729,0,.,0,.,,1991,9,n,HIP1997d,wds00125+1434p.png
,001233.15-114134.7,00126-1142,RST3343,,821,1005,8.98,8.98,185,y,.,0.3,a,.,49,.,106.5,.,1900,y,.,0.2,.,302,.,,,5,,Hei1998,wds00126-1142a.png
,001323.93+265915.4,00134+2659,STT   2AB,161,895,1076,6.77,7.67,421.98,y,7.92,0.641,a,0.003,124.1,0.9,193,0.7,1969.97,y,0.28,0.72,0.004,286.1,0.6,2000,2005,3,n,Hrt2008,wds00134+2659k.png
,001509.80+272345.1,00152+2722,J   868,195,,,12.42,12.62,1089,y,153,8.48,a,1.06,75.2,2.5,68.9,3.1,1725,y,147,0.367,0.37,352.8,19.4,2000,2006,5,,Nov2007b,wds00152+2722k.png
,001517.83+441212.2,00153+4412,A  1256AB,197,1082,1233,7.3,7.5,330,y,.,0.29,a,.,73.8,.,64.3,.,1995.5,y,.,0.715,.,78.1,.,2000,1991,4,,Sey2002,wds00153+4412b.png
,001517.83+441212.2,00153+4412,A  1256AB,197,1082,1233,7.3,7.5,137.96,y,.,0.153,a,.,62.9,.,68.4,.,1997.78,y,.,0.724,.,118.1,.,,1991,3,,Ole2002c,wds00153+4412a.png
,001527.67-160756.3,00155-1608,HEI 299,,,1242,11,11.4,4.566,y,0.009,0.3037,a,0.0007,146,0.3,62.6,0.6,1995.366,y,0.003,0.364,0.001,346.4,0.6,2000,1997,2,n,Hry1998,wds00155-1608a.png
,001613.88+765702.7,00162+7657,STF  13,207,1141,1296,7.03,7.12,971.444,y,.,0.9873,a,.,135.8,.,89.4,.,2770.589,y,.,0.4095,.,285.2,.,,1996,4,n,Ole2001,wds00162+7657a.png
,001644.46+362929.0,00167+3629,STT   4,221,1224,1336,7.94,9.88,108.9,y,.,0.35,a,.,162.5,.,10.8,.,1907.9,y,.,0.56,.,356.3,.,,1999,2,n,Alz2000a,wds00167+3629b.png
,001653.59-523905.7,00169-5239,GJ 13,,1273,1349,6.85,.,411.4,d,.,20.98,m,0.56,74.7,2.1,352.3,3.3,34233.3,d,.,0.57,.,4.7,.,,1992,9,n,Jnc2005,wds00169-5239u.png
,001705.54+384054.0,00171+3841,CHR 123,,1280,1366,4.62,.,1033,d,84,25,m,22,69,15,263,103,48587,d,243,0.95,0.22,89,102,,1993,9,n,Gln2006,wds00171+3841u.png
,001705.54+384054.0,00171+3841,CHR 123,,1280,1366,4.62,.,1006,d,95,12,m,6,63,10,294,94,48621,d,327,0.62,0.28,70,96,,1993,9,n,Gln2006,wds00171+3841v.png
,001724.50+085234.8,00174+0853,A  1803AB,238,1317,1392,8.38,7.78,18.02,y,.,0.121,a,.,109.7,.,138.18,.,1968.88,y,.,0.856,.,37.82,.,,1979,3,n,Lin1984b,wds00174+0853a.png
,001814.70+725648.4,00182+7257,A   803,243,1360,1461,8.1,8.76,247.63,y,5.08,0.367,a,0.026,68.6,1.3,151.2,1.1,2053.72,y,3.7,0.392,0.035,243,5.3,2000,1998,4,n,Cve2006e,wds00182+7257k.png
,001822.88+440122.6,00184+4401,GRB  34AB,246,1326,1475,8.07v,11.04v,2600,y,.,41.15,a,.,61.4,.,45.3,.,1745,y,.,0,.,0,.,2000,,5,n,Lip1972,wds00184+4401a.png
,002033.00+453032.1,00205+4531,A   647,277,1614,1642,7.17,9.56,372.7,y,.,0.947,a,.,122,.,39.4,.,1876.01,y,.,0.292,.,136.8,.,2000,2006,5,,Pru2008,wds00205+4531k.png
,002038.22+121839.8,00206+1219,BU 1015,281,1634,1646,8.39,9.67,126.951,y,2.73,0.317,a,0.026,28.7,2.9,107.9,4.4,1961.786,y,0.14,0.5282,0.0088,195.4,4.6,2000,1999,2,n,Sca2000b,wds00206+1219b.png
,002054.61+105837.1,00209+1059,BU 1093,287,1663,1670,6.73,8.55,471,y,.,0.545,a,.,42.4,.,132.3,.,1844.26,y,.,0.517,.,181.6,.,2000,2005,5,,Lin2007b,wds00209+1059k.png
,002057.09+674002.3,00210+6740,HJ 1018,283,1624,1674,8.57,8.89,161,y,.,1,a,.,88,.,87,.,1941,y,.,0.89,.,202,.,2000,,4,n,Sod1999,wds00210+6740a.png
,002122.17+670019.5,00214+6700,STT   6AB,293,1658,1700,7.54,8.77,335.385,y,.,0.3935,a,.,128.3,.,149,.,1928.76,y,.,0.9424,.,182.7,.,,1997,4,n,Ole2001,wds00214+6700a.png
,002415.64+520111.7,00243+5201,HU  506,328,1976,1921,5.95,6.84,169.29,y,.,0.214,a,.,64.8,.,30.1,.,1955.06,y,.,0.163,.,311.8,.,2000,2004,3,n,Doc2005b,wds00243+5201e.png
